Nom,Alquiler,Extra,Carrer,Direccion,Barri,Districte,Població,Província,Descripcion,Latitud,Longitud
Alquiler de piso en Carrera de Malilla,790 €/m ,122 m²   3 hab.   4ª planta exterior,  Carrer de Malilla  ,  Carrer de Malilla   Malilla     Quatre Carreres    ,Malilla   , Quatre Carreres   ,Valencia,València,"Estupendo piso todo exterior en edificio del año 2000, totalmente amueblado con muebles de diseño moderno, sus 108 m2 útiles se distribuyen en una amplia entrada con armario empotrado, salón comedor con dos entradas y salida a un balcón, tres dormitorios dobles con armario empotrados (principal c...",39.4549778,-0.37822
Alquiler de piso en Nou Moles,650 €/m  ,90 m²   3 hab.   3ª planta exterior,   ,    Nou Moles     L'Olivereta    ,Nou Moles   , L'Olivereta   ,Valencia,València,"OPORTUNIDAD EN ALQUILER CON GARAJE CERCA DE LA PLAZA NOU MOLES. La vivienda se presenta distribuida perfectamente en una superficie construida de 90m2 y dispone de 3 habitaciones, comedor salón de 30 mts. con balcón-terraza, cocina independiente reformada y con mobiliario en roble con galería- l...",39.4715248,-0.3995606
Alquiler de piso en Benimaclet,750 €/m  ,85 m²   3 hab.   Bajo,   ,    Benimaclet     Benimaclet    ,Benimaclet   , Benimaclet   ,Valencia,València,"Inmueble en alquiler de tres habitaciones, baño, cocina, zona, Benimaclet, con una comunicación perfecta, cerca de Universidades, para estudiantes.",39.4871955,-0.3548312
Alquiler de piso en calle de l'esquif,480 €/m  ,75 m²   2 hab.   Entreplanta exterior," Carrer de l'esquif, 6  "," Carrer de l'esquif, 6   Les Tendetes     Campanar    ",Les Tendetes   , Campanar   ,Valencia,València,"Se alquila piso amueblado y con electrodomesticos para entrar a vivir. Buena zona, con todo tipo de servicios cerca.",39.4821025,-0.3851352
Alquiler de piso en Sant Pau,900 €/m  ,70 m²   2 hab.   2ª planta exterior,   ,    Sant Pau     Campanar    ,Sant Pau   , Campanar   ,Valencia,València,"Se ofrece un precioso piso en una comunidad muy bien cuidada con piscina, gimnasio, pistas de padel, parque infantil, vigilancia 24h. Para más detalles, contactarme.",39.4883079,-0.4101619
Alquiler de piso en calle de sueca,899 €/m  ,128 m²   3 hab.   2ª planta exterior, Carrer de sueca  , Carrer de sueca   Russafa     L'Eixample    ,Russafa   , L'Eixample   ,Valencia,València,"Se alquila Piso con ascensor muy luminoso en la zona de Russafa. Tiene una superficie de 128 m2, distribuidos en 3 habitaciones, 2 baños, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. Finca nueva,...",39.461006,-0.3748042
Alquiler de piso en avenida de Pérez Galdós,650 €/m  ,65 m²   2 hab.   5ª planta exterior," Avinguda de Pérez Galdós, 7  "," Avinguda de Pérez Galdós, 7   Patraix     Patraix    ",Patraix   , Patraix   ,Valencia,València,"Estoy buscando algún interesado en alquilar mi casa de Valencia para largo plazo. Es un apartamento de 65 m2, cuenta con habitación principal ideal para parejas con cama de matrimonio, y una habitación extra más pequeña con armarios. El apartamento cuenta con cocina totalmente equipada, vitrocer...",39.4630915,-0.3875405
Alquiler de piso en La Roqueta,750 €/m  ,45 m²   1 hab.,   ,    La Roqueta     Extramurs    ,La Roqueta   , Extramurs   ,Valencia,València,"Vivienda totalmente reformada con altas calidades a estrenar ! piso exterior con vistas a la calle El piso amueblado de 45 m2 dispone de 1 habitación muy luminosa, comedor con cocina americana y un baño completo. Cuenta con todo los electrodomésticos nuevos a estrenar: Lavadora -secadora, placa d...",39.4670605,-0.3801324
Alquiler de piso en calle de salvador giner,650 €/m  ,50 m²   1 hab., Carrer de salvador giner  , Carrer de salvador giner   El Carme     Ciutat Vella    ,El Carme   , Ciutat Vella   ,Valencia,València,"Se alquila Planta Baja muy luminoso en la zona de Ciutat vella. Tiene una superficie de 50 m2, distribuidos en 1 habitacion, 1 baño, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. Planta baja refor...",39.4802277,-0.3799698
Alquiler de piso en calle dels gremis,575 €/m  ,110 m²   3 hab.   5ª planta, Carrer dels gremis  , Carrer dels gremis   Sant Isidre     Patraix    ,Sant Isidre   , Patraix   ,Valencia,València,"VIVIENDA RECIEN REFORMADA A ESTRENAR Estupenda vivienda en muy buena zona, perfectamente comunicada y con toda clase de servicios Cocina equipada con horno, vitrocerámica, campana decorativa a estrenar. Gran comedor con pared de piedra, 2 habitaciones dobles y 1 simple, baño con plato de ducha y...",39.4541174,-0.4063436
